GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TechPrototype,com.example.techprototype.Event,DataInitializationCompletedEvent,0,8,0,0,0,4,0,2,0,2
TechPrototype,com.example.techprototype.DTO,WaitlistOrderDetailResponse,0,14,0,0,0,2,0,2,0,2
TechPrototype,com.example.techprototype.DTO,WaitlistOrderResponse,0,14,0,0,0,2,0,2,0,2
TechPrototype,com.example.techprototype.DTO,MyTicketResponse,0,27,0,0,0,3,0,3,0,3
TechPrototype,com.example.techprototype.DTO,ChangePasswordResponse,0,30,0,0,0,10,0,2,0,2
TechPrototype,com.example.techprototype.DTO,AddPassengerResponse,0,27,0,0,0,9,0,2,0,2
TechPrototype,com.example.techprototype.DTO,CheckAddPassengerResponse,0,24,0,0,0,8,0,2,0,2
TechPrototype,com.example.techprototype.DTO,BasicResponse,0,30,0,0,0,10,0,2,0,2
TechPrototype,com.example.techprototype.DTO,UserDTO,0,45,0,0,0,19,0,13,0,13
TechPrototype,com.example.techprototype.DTO,MyOrderResponse,0,16,0,0,0,2,0,2,0,2
TechPrototype,com.example.techprototype.DTO,TicketDetailResponse,0,16,0,0,0,2,0,2,0,2
TechPrototype,com.example.techprototype.DTO,RegisterDTO,0,38,0,0,0,16,0,11,0,11
TechPrototype,com.example.techprototype.DTO,BookingResponse,10,30,0,0,1,3,1,3,1,3
TechPrototype,com.example.techprototype.DTO,ProfileResponse,0,36,0,0,0,12,0,2,0,2
TechPrototype,com.example.techprototype.DTO,LoginDTO,0,17,0,0,0,7,0,5,0,5
TechPrototype,com.example.techprototype.Util,TicketNumberGenerator,3,12,0,0,1,2,1,2,1,2
TechPrototype,com.example.techprototype.Util,JwtUtil,0,103,1,3,0,25,1,10,0,9
TechPrototype,com.example.techprototype.Util,SeatBitmapUtil,16,366,8,52,5,77,8,41,1,9
TechPrototype,com.example.techprototype.Exception,GlobalExceptionHandler,27,7,0,0,5,2,1,2,1,2
